date_only,Resolution Description,count
2016-05-20,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2016-05-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-05-21,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-05-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,26
2016-05-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-05-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-05-24,The Police Department responded to the complaint and took action to fix the condition.,1
2016-05-26,The Police Department issued a summons in response to the complaint.,13
2016-05-26,The Police Department responded to the complaint and took action to fix the condition.,2
2016-05-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-05-27,The Police Department responded to the complaint and determined that police action was not necessary.,2
2016-05-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-05-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-05-29,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-05-29,The Police Department responded to the complaint and took action to fix the condition.,3
2016-05-30,The Police Department responded to the complaint and took action to fix the condition.,8
2016-05-31,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-06-01,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-06-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-06-03,The Police Department responded to the complaint and took action to fix the condition.,3
2016-06-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-06-04,The Police Department responded to the complaint and took action to fix the condition.,9
2016-06-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-06-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-06-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10
2016-06-07,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-06-07,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-08,The Police Department responded to the complaint and took action to fix the condition.,3
2016-06-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-06-09,The Police Department responded to the complaint and took action to fix the condition.,2
2016-06-11,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-06-12,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-06-12,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-06-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-06-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-06-17,The Police Department issued a summons in response to the complaint.,1
2016-06-17,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-06-17,The Police Department responded to the complaint and took action to fix the condition.,2
2016-06-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-06-18,The Police Department responded to the complaint and took action to fix the condition.,4
2016-06-19,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-06-19,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-06-23,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-06-24,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2016-06-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-06-25,The Police Department responded to the complaint and took action to fix the condition.,1
2016-06-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2016-06-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,31
2016-06-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-07-03,The Police Department responded to the complaint and took action to fix the condition.,7
2016-07-05,The Police Department responded to the complaint and took action to fix the condition.,20
2016-07-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-07-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-07-07,The Police Department responded to the complaint and took action to fix the condition.,1
2016-07-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-07-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-07-11,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-07-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-07-12,The Police Department responded to the complaint and took action to fix the condition.,2
2016-07-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-07-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2016-07-15,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-07-15,The Police Department responded to the complaint and took action to fix the condition.,1
2016-07-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-07-19,The Police Department responded to the complaint and took action to fix the condition.,1
2016-07-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-07-20,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-07-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-07-21,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-07-21,The Police Department responded to the complaint and took action to fix the condition.,2
2016-07-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-07-22,The Police Department responded to the complaint and took action to fix the condition.,4
2016-07-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-07-23,The Police Department responded to the complaint and took action to fix the condition.,1
2016-07-24,The Police Department responded to the complaint and took action to fix the condition.,2
2016-07-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-07-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-07-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-07-29,The Police Department responded to the complaint and took action to fix the condition.,1
2016-07-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-07-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-08-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-03,The Police Department responded to the complaint and took action to fix the condition.,31
2016-08-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2016-08-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-05,The Police Department responded to the complaint and took action to fix the condition.,8
2016-08-06,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-08-07,The Police Department responded to the complaint and took action to fix the condition.,1
2016-08-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-08,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-08-10,The Police Department responded to the complaint and took action to fix the condition.,1
2016-08-11,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-08-12,The Police Department responded to the complaint and took action to fix the condition.,1
2016-08-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-08-13,The Police Department responded to the complaint and took action to fix the condition.,54
2016-08-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-14,The Police Department responded to the complaint and took action to fix the condition.,2
2016-08-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-08-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10
2016-08-20,The Police Department responded to the complaint and determined that police action was not necessary.,2
2016-08-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-08-22,The Police Department responded to the complaint and took action to fix the condition.,1
2016-08-22,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2016-08-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-08-24,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-08-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-08-27,The Police Department responded to the complaint and took action to fix the condition.,1
2016-08-30,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-08-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-08-31,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-09-01,The Police Department responded to the complaint and took action to fix the condition.,1
2016-09-03,The Police Department issued a summons in response to the complaint.,3
2016-09-03,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-09-03,The Police Department responded to the complaint and took action to fix the condition.,5
2016-09-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-04,The Police Department issued a summons in response to the complaint.,1
2016-09-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-05,The Police Department responded to the complaint and took action to fix the condition.,1
2016-09-07,The Police Department responded to the complaint and determined that police action was not necessary.,2
2016-09-07,The Police Department responded to the complaint and took action to fix the condition.,1
2016-09-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-11,The Police Department responded to the complaint and took action to fix the condition.,2
2016-09-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-15,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-09-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-18,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-09-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-09-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2016-09-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-09-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-10-01,The Police Department responded to the complaint and determined that police action was not necessary.,4
2016-10-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-10-02,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-10-02,The Police Department responded to the complaint and took action to fix the condition.,2
2016-10-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-10-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-10-07,The Police Department responded to the complaint and took action to fix the condition.,4
2016-10-07,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2016-10-10,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-10-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-10-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-10-12,The Police Department responded to the complaint and took action to fix the condition.,2
2016-10-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-13,The Police Department responded to the complaint and took action to fix the condition.,2
2016-10-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-10-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-10-17,The Police Department responded to the complaint and took action to fix the condition.,2
2016-10-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-10-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2016-10-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-10-21,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-10-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-10-29,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-10-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-10-30,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-10-30,The Police Department responded to the complaint and took action to fix the condition.,3
2016-10-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-11-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-11-05,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-11-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-11-06,The Police Department responded to the complaint and took action to fix the condition.,1
2016-11-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-11-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-11-08,The Police Department responded to the complaint and took action to fix the condition.,2
2016-11-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-11-14,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-11-14,The Police Department responded to the complaint and determined that police action was not necessary.,6
2016-11-14,The Police Department responded to the complaint and took action to fix the condition.,1
2016-11-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-11-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2016-11-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-11-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2016-11-19,The Police Department responded to the complaint and determined that police action was not necessary.,4
2016-11-19,The Police Department responded to the complaint and took action to fix the condition.,4
2016-11-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,18
2016-11-20,The Police Department responded to the complaint and took action to fix the condition.,3
2016-11-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-11-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-11-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-11-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2016-11-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2016-11-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-11-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2016-11-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2016-12-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-12-02,The Police Department responded to the complaint and took action to fix the condition.,1
2016-12-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2016-12-06,The Police Department responded to the complaint and took action to fix the condition.,1
2016-12-12,The Police Department responded and upon arrival those responsible for the condition were gone.,4
2016-12-13,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2016-12-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2016-12-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2016-12-18,The Police Department responded to the complaint and took action to fix the condition.,2
2016-12-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-12-24,The Police Department responded to the complaint and determined that police action was not necessary.,1
2016-12-24,The Police Department responded to the complaint and took action to fix the condition.,1
2016-12-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-12-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2016-12-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2016-12-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-01-03,The Police Department issued a summons in response to the complaint.,1
2017-01-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-01-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-01-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-01-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-01-20,The Police Department responded to the complaint and took action to fix the condition.,1
2017-01-22,The Police Department responded to the complaint and took action to fix the condition.,4
2017-01-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-01-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-01-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-01-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-01-30,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-01-31,The Police Department responded to the complaint and took action to fix the condition.,2
2017-01-31,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-02,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-02-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-02-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-02-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-02-12,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-02-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-02-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-18,The Police Department responded to the complaint and took action to fix the condition.,11
2017-02-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-02-19,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-02-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-02-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,9
2017-02-23,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-02-24,The Police Department responded to the complaint and took action to fix the condition.,2
2017-02-25,The Police Department responded to the complaint and took action to fix the condition.,14
2017-02-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-02-27,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-02-27,The Police Department responded to the complaint and took action to fix the condition.,1
2017-02-28,The Police Department responded to the complaint and took action to fix the condition.,2
2017-02-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-03-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2017-03-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-03-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-03-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-03-06,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-03-07,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-03-09,The Police Department responded to the complaint and determined that police action was not necessary.,8
2017-03-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-03-10,The Police Department responded to the complaint and took action to fix the condition.,1
2017-03-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-03-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-03-14,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2017-03-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-03-15,The Police Department responded to the complaint and took action to fix the condition.,1
2017-03-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-03-18,The Police Department responded to the complaint and took action to fix the condition.,1
2017-03-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-03-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-03-20,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-03-20,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2017-03-21,The Police Department responded to the complaint and determined that police action was not necessary.,6
2017-03-21,The Police Department responded to the complaint and took action to fix the condition.,4
2017-03-21,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2017-03-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-03-24,The Police Department responded to the complaint and took action to fix the condition.,1
2017-03-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-03-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2017-03-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2017-03-28,The Police Department responded to the complaint and took action to fix the condition.,3
2017-03-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-03-29,The Police Department responded to the complaint and took action to fix the condition.,6
2017-03-30,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-03-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-04-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-04-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12
2017-04-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-04-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,18
2017-04-11,The Police Department responded to the complaint and determined that police action was not necessary.,6
2017-04-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-04-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,44
2017-04-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-04-16,The Police Department responded to the complaint and took action to fix the condition.,1
2017-04-17,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-04-20,The Police Department responded to the complaint and determined that police action was not necessary.,21
2017-04-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,16
2017-04-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-04-27,The Police Department responded to the complaint and determined that police action was not necessary.,2
2017-04-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-04-29,The Police Department responded to the complaint and determined that police action was not necessary.,7
2017-04-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-04-30,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-04-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-01,The Police Department responded to the complaint and determined that police action was not necessary.,4
2017-05-01,The Police Department responded to the complaint and took action to fix the condition.,3
2017-05-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-05-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-03,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-05-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-05-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12
2017-05-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-08,The Police Department responded to the complaint and took action to fix the condition.,1
2017-05-10,The Police Department responded to the complaint and took action to fix the condition.,3
2017-05-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-05-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-05-16,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-05-17,The Police Department responded to the complaint and determined that police action was not necessary.,17
2017-05-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-18,The Police Department responded to the complaint and took action to fix the condition.,24
2017-05-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-05-19,The Police Department responded to the complaint and took action to fix the condition.,1
2017-05-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-22,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-05-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-05-23,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2017-05-23,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-05-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-05-25,The Police Department responded to the complaint and determined that police action was not necessary.,11
2017-05-26,The Police Department responded to the complaint and took action to fix the condition.,3
2017-05-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12
2017-05-27,The Police Department responded to the complaint and took action to fix the condition.,38
2017-05-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,15
2017-05-27,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2
2017-05-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,20
2017-05-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-05-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-06-02,The Police Department responded to the complaint and took action to fix the condition.,1
2017-06-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-06-03,The Police Department responded to the complaint and took action to fix the condition.,4
2017-06-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,21
2017-06-04,The Police Department responded to the complaint and determined that police action was not necessary.,22
2017-06-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,78
2017-06-06,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-06-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-06-11,The Police Department responded to the complaint and took action to fix the condition.,1
2017-06-12,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-06-12,The Police Department responded to the complaint and took action to fix the condition.,1
2017-06-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-14,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-06-15,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-06-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-17,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-06-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-06-18,The Police Department responded to the complaint and took action to fix the condition.,2
2017-06-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2017-06-22,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-06-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-26,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-06-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-28,The Police Department responded to the complaint and took action to fix the condition.,2
